[1/10] viyana.ru                           OK 6
[2/10] voskgp.ru                           OK 1
[3/10] vstroy-mebel.ru                     OK 1
[4/10] wbmebel.ru                          --
[5/10] werstakoff.ru                       OK 1
[6/10] westgroup.ru                        OK 1
[7/10] wezamebel.ru                        --
[8/10] wgmarket.ru                         OK 1
[9/10] wood-estate.ru                      OK 2
[10/10] zokka.ru                            OK 1

Done: 8 sites, 14 emails
